/Users/ericklavins/Development/aquarium/lib/pdl/core
Aquarium Version 1259 Starting!
Task,Month,Number of tasks,Total materials,Total labor
Ecoli Transformation,Apr 2017,0,0.0,0.0
Ecoli Transformation,May 2017,0,0.0,0.0
Ecoli Transformation,Jun 2017,0,0.0,0.0
Yeast Cytometry,Jan 2017,0,0.0,0.0
Yeast Cytometry,Feb 2017,0,0.0,0.0
Yeast Cytometry,Mar 2017,0,0.0,0.0
Yeast Cytometry,Apr 2017,0,0.0,0.0
Yeast Cytometry,May 2017,0,0.0,0.0
Yeast Cytometry,Jun 2017,0,0.0,0.0
Bacteria Media,Jan 2017,0,0.0,0.0
Bacteria Media,Feb 2017,0,0.0,0.0
Bacteria Media,Mar 2017,0,0.0,0.0
Bacteria Media,Apr 2017,0,0.0,0.0
Bacteria Media,May 2017,0,0.0,0.0
Bacteria Media,Jun 2017,0,0.0,0.0
Yeast YPAD,Jan 2017,0,0.0,0.0
Yeast YPAD,Feb 2017,0,0.0,0.0
Yeast YPAD,Mar 2017,0,0.0,0.0
Yeast YPAD,Apr 2017,0,0.0,0.0
Yeast YPAD,May 2017,0,0.0,0.0
Yeast YPAD,Jun 2017,0,0.0,0.0
Yeast SDO or SC,Jan 2017,0,0.0,0.0
Yeast SDO or SC,Feb 2017,0,0.0,0.0
Yeast SDO or SC,Mar 2017,0,0.0,0.0
Yeast SDO or SC,Apr 2017,0,0.0,0.0
Yeast SDO or SC,May 2017,0,0.0,0.0
Yeast SDO or SC,Jun 2017,0,0.0,0.0
Direct Purchase,Jan 2017,0,0.0,0.0
Direct Purchase,Feb 2017,0,0.0,0.0
Direct Purchase,Mar 2017,0,0.0,0.0
Direct Purchase,Apr 2017,0,0.0,0.0
Direct Purchase,May 2017,0,0.0,0.0
Direct Purchase,Jun 2017,0,0.0,0.0
